Variables,F1,AUC,ACC,PREC,REC
"['Media', 'Dfi']",0.969,0.974,0.97,1.0,0.94
"['RMS', 'PUI', 'Frecuencia_Dom']",0.969,0.969,0.97,1.0,0.94
"['Desviacion', 'Dfi']",0.969,0.967,0.97,1.0,0.94
"['RMS', 'Dfi']",0.969,0.967,0.97,1.0,0.94
"['PUAL', 'Dfi']",0.969,0.97,0.97,1.0,0.94
"['Media', 'Desviacion', 'Dfi']",0.969,0.974,0.97,1.0,0.94
"['Media', 'RMS', 'Dfi']",0.969,0.974,0.97,1.0,0.94
"['Media', 'PUAL', 'Dfi']",0.969,0.975,0.97,1.0,0.94
"['PUAL', 'PUAL_Ratio', 'Dfi']",0.969,0.969,0.97,1.0,0.94
"['Desviacion', 'PUI', 'Dfi']",0.969,0.971,0.97,1.0,0.94
