Variables,Exactitud,Precision,Sensibilidad,F1_Score,AUC
"['PUAL_Ratio', 'Dfi', 'Velocidad_Media']",0.845,0.817,0.904,0.858,0.865
"['PUAL', 'PUAL_Ratio', 'Velocidad_Media']",0.84,0.821,0.885,0.852,0.868
"['PUI', 'PUAL_Ratio', 'Dfi']",0.835,0.82,0.875,0.847,0.855
"['PUAL', 'PUAL_Ratio', 'Frecuencia_Dom']",0.83,0.824,0.856,0.84,0.878
"['PUI', 'PUAL', 'PUAL_Ratio']",0.825,0.805,0.875,0.839,0.868
"['Media', 'Desviacion', 'Dfi']",0.83,0.83,0.846,0.838,0.9
"['Desviacion', 'Dfi', 'Frecuencia_Dom']",0.825,0.811,0.865,0.837,0.882
"['PUAL_Ratio', 'Dfi', 'Frecuencia_Dom']",0.825,0.811,0.865,0.837,0.883
"['Desviacion', 'PUAL', 'Dfi']",0.83,0.843,0.827,0.835,0.889
"['RMS', 'Dfi', 'Frecuencia_Dom']",0.82,0.804,0.865,0.833,0.875
"['Media', 'Dfi', 'Frecuencia_Dom']",0.82,0.804,0.865,0.833,0.882
"['Media', 'PUAL_Ratio', 'Dfi']",0.82,0.804,0.865,0.833,0.877
"['PUAL', 'PUAL_Ratio']",0.815,0.791,0.875,0.831,0.855
"['Desviacion', 'PUAL_Ratio', 'Dfi']",0.82,0.815,0.846,0.83,0.897
"['Desviacion', 'RMS', 'Dfi']",0.82,0.821,0.837,0.829,0.902
"['Desviacion', 'PUI', 'Dfi']",0.82,0.821,0.837,0.829,0.892
"['RMS', 'PUAL_Ratio', 'Dfi']",0.815,0.796,0.865,0.829,0.882
"['RMS', 'PUI', 'Dfi']",0.815,0.802,0.856,0.828,0.884
"['Desviacion', 'PUAL_Ratio', 'Frecuencia_Dom']",0.82,0.827,0.827,0.827,0.895
"['Desviacion', 'PUAL_Ratio']",0.82,0.827,0.827,0.827,0.883
"['Desviacion', 'Dfi', 'Velocidad_Media']",0.82,0.827,0.827,0.827,0.896
"['Media', 'Desviacion', 'Frecuencia_Dom']",0.815,0.807,0.846,0.826,0.873
"['Media', 'Dfi']",0.815,0.807,0.846,0.826,0.872
"['Desviacion', 'PUI', 'PUAL_Ratio']",0.815,0.813,0.837,0.825,0.864
"['Media', 'Desviacion', 'PUAL_Ratio']",0.815,0.813,0.837,0.825,0.897
"['Desviacion', 'PUAL_Ratio', 'Velocidad_Media']",0.815,0.813,0.837,0.825,0.879
"['PUAL', 'PUAL_Ratio', 'Dfi']",0.81,0.795,0.856,0.824,0.87
"['PUI', 'PUAL', 'Dfi']",0.815,0.819,0.827,0.823,0.873
"['Desviacion', 'RMS', 'Frecuencia_Dom']",0.81,0.8,0.846,0.822,0.871
"['Desviacion', 'RMS', 'PUAL']",0.81,0.806,0.837,0.821,0.884
"['RMS', 'Dfi', 'Velocidad_Media']",0.81,0.806,0.837,0.821,0.883
"['Media', 'Desviacion']",0.81,0.806,0.837,0.821,0.876
"['Media', 'Desviacion', 'RMS']",0.81,0.806,0.837,0.821,0.875
"['Media', 'Dfi', 'Velocidad_Media']",0.81,0.806,0.837,0.821,0.883
"['Desviacion', 'RMS', 'PUAL_Ratio']",0.81,0.811,0.827,0.819,0.895
"['Media', 'PUAL', 'PUAL_Ratio']",0.805,0.793,0.846,0.819,0.874
"['Desviacion', 'PUAL', 'Frecuencia_Dom']",0.81,0.811,0.827,0.819,0.883
"['Desviacion', 'RMS', 'Velocidad_Media']",0.81,0.811,0.827,0.819,0.892
"['Desviacion', 'RMS', 'PUI']",0.81,0.811,0.827,0.819,0.892
"['Media', 'RMS', 'Dfi']",0.805,0.798,0.837,0.817,0.864
"['PUAL', 'Dfi', 'Frecuencia_Dom']",0.805,0.798,0.837,0.817,0.867
"['Desviacion', 'PUAL', 'Velocidad_Media']",0.81,0.824,0.808,0.816,0.886
"['RMS', 'Dfi']",0.805,0.804,0.827,0.815,0.865
"['Media', 'Desviacion', 'PUI']",0.805,0.804,0.827,0.815,0.892
"['Desviacion', 'RMS']",0.805,0.804,0.827,0.815,0.876
"['Media', 'Desviacion', 'Velocidad_Media']",0.805,0.804,0.827,0.815,0.892
"['Desviacion', 'PUAL', 'PUAL_Ratio']",0.805,0.81,0.817,0.813,0.865
"['Media', 'Desviacion', 'PUAL']",0.805,0.81,0.817,0.813,0.882
"['RMS', 'PUAL', 'PUAL_Ratio']",0.8,0.791,0.837,0.813,0.875
"['Media', 'PUI', 'Dfi']",0.8,0.796,0.827,0.811,0.883
"['Desviacion', 'Velocidad_Media', 'Frecuencia_Dom']",0.8,0.802,0.817,0.81,0.875
"['Media', 'PUAL', 'Dfi']",0.8,0.802,0.817,0.81,0.875
"['Desviacion', 'PUI', 'Frecuencia_Dom']",0.8,0.802,0.817,0.81,0.875
"['PUI', 'Dfi', 'Velocidad_Media']",0.8,0.808,0.808,0.808,0.855
"['Desviacion', 'PUI', 'PUAL']",0.8,0.808,0.808,0.808,0.886
"['Media', 'PUAL_Ratio', 'Velocidad_Media']",0.79,0.777,0.837,0.806,0.858
"['Media', 'PUI', 'PUAL_Ratio']",0.79,0.777,0.837,0.806,0.853
"['PUAL_Ratio', 'Dfi']",0.79,0.782,0.827,0.804,0.861
"['PUI', 'Dfi', 'Frecuencia_Dom']",0.79,0.782,0.827,0.804,0.867
"['PUAL', 'Dfi', 'Velocidad_Media']",0.795,0.8,0.808,0.804,0.866
"['RMS', 'PUAL_Ratio', 'Velocidad_Media']",0.79,0.787,0.817,0.802,0.851
"['Desviacion', 'PUAL']",0.795,0.806,0.798,0.802,0.88
"['PUI', 'PUAL_Ratio', 'Frecuencia_Dom']",0.785,0.775,0.827,0.8,0.84
"['Dfi', 'Velocidad_Media', 'Frecuencia_Dom']",0.785,0.775,0.827,0.8,0.866
"['RMS', 'PUAL', 'Dfi']",0.79,0.798,0.798,0.798,0.872
"['Dfi', 'Frecuencia_Dom']",0.785,0.785,0.808,0.796,0.866
"['Desviacion', 'Dfi']",0.79,0.804,0.788,0.796,0.89
"['RMS', 'PUI', 'PUAL_Ratio']",0.775,0.761,0.827,0.793,0.848
