Variables,N_Variables,Exactitud,Precision,Sensibilidad,F1_Score,AUC
Media + PUAL + PUAL_Ratio + Dfi,4,0.915,0.922,0.913,0.918,0.961
PUAL + PUAL_Ratio + Dfi,3,0.91,0.913,0.913,0.913,0.958
Media + Desviacion + PUAL_Ratio + Dfi,4,0.905,0.905,0.913,0.909,0.96
PUAL + PUAL_Ratio + Dfi + Frecuencia_Dom,4,0.91,0.922,0.904,0.913,0.955
Desviacion + RMS + PUAL + PUAL_Ratio + Dfi,5,0.905,0.913,0.904,0.908,0.96
Desviacion + RMS + PUAL_Ratio + Dfi + Frecuencia_Dom,5,0.905,0.913,0.904,0.908,0.959
Media + Desviacion + PUAL_Ratio + Dfi + Frecuencia_Dom,5,0.905,0.913,0.904,0.908,0.957
Desviacion + RMS + PUI + PUAL_Ratio + Dfi,5,0.9,0.904,0.904,0.904,0.965
Media + Desviacion + Dfi,3,0.9,0.904,0.904,0.904,0.961
Desviacion + RMS + PUAL + Dfi + Frecuencia_Dom,5,0.9,0.904,0.904,0.904,0.957
Desviacion + RMS + PUI + PUAL + Frecuencia_Dom,5,0.9,0.904,0.904,0.904,0.956
Desviacion + RMS + PUAL_Ratio + Dfi,4,0.895,0.895,0.904,0.9,0.961
Media + Desviacion + PUI + Dfi + Frecuencia_Dom,5,0.89,0.887,0.904,0.895,0.96
Media + PUI + PUAL + Velocidad_Media + Frecuencia_Dom,5,0.89,0.887,0.904,0.895,0.945
Media + Desviacion + PUI + PUAL + Dfi,5,0.88,0.87,0.904,0.887,0.961
RMS + PUI + PUAL + PUAL_Ratio,4,0.91,0.93,0.894,0.912,0.961
Media + PUI + PUAL + PUAL_Ratio + Dfi,5,0.91,0.93,0.894,0.912,0.961
RMS + PUI + PUAL + PUAL_Ratio + Dfi,5,0.91,0.93,0.894,0.912,0.96
Media + RMS + PUAL_Ratio + Dfi + Frecuencia_Dom,5,0.91,0.93,0.894,0.912,0.954
RMS + PUAL_Ratio + Dfi + Velocidad_Media + Frecuencia_Dom,5,0.905,0.921,0.894,0.907,0.962
RMS + PUAL + PUAL_Ratio + Dfi,4,0.905,0.921,0.894,0.907,0.961
Media + PUI + PUAL + PUAL_Ratio,4,0.905,0.921,0.894,0.907,0.96
RMS + PUAL + PUAL_Ratio + Velocidad_Media,4,0.905,0.921,0.894,0.907,0.96
Media + PUI + PUAL + PUAL_Ratio + Velocidad_Media,5,0.905,0.921,0.894,0.907,0.959
Desviacion + RMS + PUI + PUAL_Ratio + Frecuencia_Dom,5,0.905,0.921,0.894,0.907,0.959
RMS + PUI + PUAL + PUAL_Ratio + Velocidad_Media,5,0.905,0.921,0.894,0.907,0.958
RMS + PUAL_Ratio + Dfi + Frecuencia_Dom,4,0.905,0.921,0.894,0.907,0.956
Desviacion + RMS + Dfi,3,0.9,0.912,0.894,0.903,0.962
Desviacion + RMS + PUAL_Ratio + Velocidad_Media + Frecuencia_Dom,5,0.9,0.912,0.894,0.903,0.961
Media + Desviacion + PUAL + PUAL_Ratio + Dfi,5,0.9,0.912,0.894,0.903,0.959
Desviacion + RMS + PUAL_Ratio,3,0.9,0.912,0.894,0.903,0.957
Media + RMS + PUI + PUAL + Dfi,5,0.9,0.912,0.894,0.903,0.956
Media + Desviacion + RMS + PUAL_Ratio + Dfi,5,0.895,0.903,0.894,0.899,0.962
Media + PUAL + PUAL_Ratio + Velocidad_Media,4,0.895,0.903,0.894,0.899,0.961
Desviacion + RMS + Dfi + Velocidad_Media + Frecuencia_Dom,5,0.895,0.903,0.894,0.899,0.961
Desviacion + RMS + PUAL + Dfi,4,0.895,0.903,0.894,0.899,0.959
Media + Desviacion + PUI + PUAL + Frecuencia_Dom,5,0.895,0.903,0.894,0.899,0.954
Desviacion + RMS + PUAL + PUAL_Ratio + Frecuencia_Dom,5,0.895,0.903,0.894,0.899,0.954
Media + PUAL + Velocidad_Media,3,0.895,0.903,0.894,0.899,0.949
Media + Desviacion + RMS + Dfi,4,0.89,0.894,0.894,0.894,0.962
PUI + PUAL + PUAL_Ratio + Dfi + Frecuencia_Dom,5,0.89,0.894,0.894,0.894,0.959
Media + Desviacion + RMS + PUI + Frecuencia_Dom,5,0.89,0.894,0.894,0.894,0.957
Media + Desviacion + RMS + Velocidad_Media + Frecuencia_Dom,5,0.89,0.894,0.894,0.894,0.957
PUI + PUAL_Ratio + Dfi + Velocidad_Media,4,0.89,0.894,0.894,0.894,0.955
Desviacion + PUAL_Ratio + Dfi + Frecuencia_Dom,4,0.89,0.894,0.894,0.894,0.951
Media + Desviacion + Dfi + Frecuencia_Dom,4,0.885,0.886,0.894,0.89,0.957
Media + Desviacion + PUAL + Dfi + Frecuencia_Dom,5,0.885,0.886,0.894,0.89,0.954
Desviacion + PUAL + PUAL_Ratio + Dfi + Frecuencia_Dom,5,0.885,0.886,0.894,0.89,0.953
RMS + PUI + Dfi + Velocidad_Media,4,0.885,0.886,0.894,0.89,0.951
Desviacion + PUI + PUAL_Ratio,3,0.88,0.877,0.894,0.886,0.95
PUI + PUAL,2,0.905,0.929,0.885,0.906,0.95
PUAL + Velocidad_Media,2,0.905,0.929,0.885,0.906,0.95
Media + RMS + PUI + PUAL + PUAL_Ratio,5,0.9,0.92,0.885,0.902,0.96
Media + PUAL + PUAL_Ratio + Dfi + Frecuencia_Dom,5,0.9,0.92,0.885,0.902,0.955
